transferid,organid,fromhospitalid,tohospitalid,pickuptime,deliverytime,transportationmode,preservation,conditiononarrival
9990001,334218,6,3,2024-11-27 03:18:30,2024-11-27 14:07:30,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990002,334288,31,42,2022-11-22 11:17:04,2022-11-23 09:21:04,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990003,334256,3,14,2022-01-12 12:33:31,2022-01-13 12:57:31,Charter Jet,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990004,333821,7,34,2020-02-22 01:33:00,2020-02-22 15:35:00,Helicopter,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990005,333776,46,21,2022-07-05 10:06:05,2022-07-06 02:39:05,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990006,334219,25,24,2021-07-20 21:11:44,2021-07-21 20:37:44,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990007,333556,26,33,2023-01-08 12:12:45,2023-01-08 19:11:45,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990008,333911,17,49,2019-07-26 17:20:13,2019-07-27 12:32:13,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990009,333913,39,6,2024-08-22 23:40:44,2024-08-23 21:31:44,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990010,333535,11,14,2022-07-10 16:42:33,2022-07-11 11:50:33,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990011,333553,46,44,2023-05-09 05:15:51,2023-05-09 13:02:51,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990012,334104,49,40,2019-06-18 20:12:39,2019-06-19 08:30:39,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990013,333407,9,32,2019-09-14 12:22:25,2019-09-15 09:17:25,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990014,333805,45,31,2022-11-25 06:43:06,2022-11-25 20:21:06,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990015,333990,3,25,2022-10-13 09:25:42,2022-10-14 06:02:42,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990016,334203,47,4,2021-03-11 14:02:08,2021-03-12 08:38:08,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990017,333921,18,40,2023-06-24 07:28:56,2023-06-24 22:27:56,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990018,333513,31,12,2022-01-12 18:22:55,2022-01-13 04:25:55,Specialized Ambulance,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990019,334015,24,49,2024-11-23 06:09:29,2024-11-23 17:58:29,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990020,333362,10,27,2020-03-25 20:30:57,2020-03-26 08:23:57,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990021,333733,50,38,2020-06-12 20:03:39,2020-06-13 05:35:39,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990022,334208,31,10,2020-05-04 04:09:26,2020-05-04 18:51:26,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990023,334332,27,25,2021-03-16 23:43:39,2021-03-17 23:47:39,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990024,334016,41,17,2023-03-10 16:18:02,2023-03-11 12:59:02,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990025,333532,40,42,2024-07-18 07:08:02,2024-07-19 00:58:02,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990026,333853,33,14,2021-06-29 11:26:27,2021-06-30 04:09:27,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990027,333555,7,50,2019-01-02 01:01:42,2019-01-02 03:54:42,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990028,333682,37,50,2018-07-19 22:07:53,2018-07-20 12:50:53,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990029,333611,29,49,2019-11-29 08:40:44,2019-11-30 05:06:44,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990030,333646,9,11,2018-11-01 09:35:11,2018-11-02 05:24:11,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990031,333486,30,25,2024-07-01 14:21:54,2024-07-02 01:19:54,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990032,333436,7,35,2022-08-19 22:49:45,2022-08-20 06:27:45,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990033,333678,38,11,2019-07-01 11:34:11,2019-07-02 03:29:11,Charter Jet,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990034,333599,31,27,2023-06-09 14:05:44,2023-06-10 08:49:44,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990035,334266,4,25,2018-09-28 11:14:10,2018-09-28 14:59:10,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990036,333904,38,16,2022-07-17 16:48:36,2022-07-17 22:44:36,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990037,333912,40,34,2024-11-01 08:13:59,2024-11-02 04:06:59,Medical Courier Service,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990038,334123,3,7,2021-11-13 21:02:04,2021-11-14 09:16:04,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990039,333699,14,12,2020-06-05 05:19:08,2020-06-05 13:06:08,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990040,333573,49,19,2025-05-25 23:32:34,2025-05-26 13:00:34,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990041,333634,50,46,2019-07-19 16:06:04,2019-07-20 01:25:04,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990042,333853,41,27,2025-04-03 13:58:16,2025-04-04 12:17:16,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990043,333693,19,12,2022-10-28 06:48:15,2022-10-28 22:53:15,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990044,334279,1,17,2023-07-23 06:36:55,2023-07-24 05:14:55,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990045,333986,41,48,2019-10-02 04:32:18,2019-10-03 01:40:18,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990046,333677,48,32,2025-03-08 19:11:02,2025-03-08 21:56:02,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990047,334201,38,35,2024-07-17 20:29:51,2024-07-18 11:39:51,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990048,334130,46,30,2025-05-16 17:07:20,2025-05-16 22:18:20,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990049,333467,20,15,2019-08-07 02:58:44,2019-08-07 23:12:44,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990050,333676,38,39,2021-02-16 16:13:09,2021-02-16 20:48:09,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990051,334006,35,27,2019-10-02 11:17:33,2019-10-03 01:49:33,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990052,333353,37,4,2023-08-14 04:09:13,2023-08-14 15:28:13,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990053,334332,29,24,2019-04-22 20:23:48,2019-04-22 23:42:48,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990054,334261,14,17,2021-12-14 17:36:49,2021-12-15 01:31:49,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990055,333536,29,24,2020-01-01 06:40:15,2020-01-02 03:11:15,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990056,333749,45,47,2021-08-15 06:36:02,2021-08-15 11:29:02,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990057,333431,28,12,2020-02-12 06:50:27,2020-02-13 04:41:27,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990058,333941,46,42,2022-05-24 08:29:34,2022-05-24 19:34:34,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990059,333555,23,49,2020-09-06 16:29:53,2020-09-07 04:33:53,Medical Courier Service,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990060,333802,50,1,2021-12-10 05:31:01,2021-12-10 16:03:01,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990061,333718,31,23,2022-03-12 16:05:39,2022-03-13 11:51:39,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990062,334065,38,7,2024-03-31 15:28:10,2024-04-01 07:26:10,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
